Item,Numberin stock,Pricesold at,Pricebought at,GE price
Blue robe bottoms,5,180,99,556
Cream robe bottoms,5,180,99,313
Turquoise robe bottoms,5,180,99,418
Pink boots,5,200,110,612
Green boots,5,200,110,546
Blue boots,5,200,110,643
Cream boots,5,200,110,362
Turquoise boots,5,200,110,565
Fishing bait,2000,3,,4
Bait pack,150,300,,Not sold
Feather,1500,2,,3
Feather pack,150,200,,Not sold
Raw cod,0,25,,120
Raw mackerel,0,17,,67
Raw bass,0,120,,211
Raw tuna,0,100,,91
Raw lobster,0,150,,218
Raw swordfish,0,200,,402
Cod,0,25,,27
Mackerel,0,17,,8
Bass,0,120,,194
Tuna,0,100,,85
Lobster,0,150,,191
Swordfish,0,200,,394
Raw lobster,5,165,105,218
Raw tuna,20,110,70,91
Raw salmon,20,55,35,53
Raw cod,20,27,17,120
Raw shark,0,330,210,838
Bronze mace,5,18,10,3
Iron mace,4,63,37,10
Steel mace,4,225,135,28
Mithril mace,3,585,351,147
Adamant mace,2,1440,864,609
Jug of wine,5,1,0,3
Jug,3,1,0,3
Empty jug pack,5,140,??,Not sold
Bottle of wine,2,500,300,334
Jug of vinegar,500,1,??,Not sold
Pot,5,1,0,5
Jug,2,1,0,3
Bucket,3,2,0,6
Bowl,2,5,1,33
Cake tin,2,13,4,62
Tinderbox,2,1,1,73
Chisel,2,1,0,69
Hammer,5,1,0,41
Rope,5,23,7,57
Raw shrimps,50,7,,12
Raw sardine,50,15,,18
Raw herring,25,22,,34
Raw mackerel,25,25,,67
Raw cod,0,50,,120
Raw anchovies,0,30,,48
Raw tuna,0,220,,91
Raw lobster,0,300,,218
Raw bass,0,240,,211
Raw swordfish,0,400,,402
Raw shark,50,600,,838
Small fishing net,5,6,3,90
Fishing rod,5,6,3,93
Fly fishing rod,5,6,3,94
Harpoon,2,6,3,82
Lobster pot,2,26,14,224
Fishing bait,1500,3,2,4
Bait pack,80,390,210,Not sold
Feather,1000,2,1,3
Feather pack,50,260,1,Not sold
Big fishing net,5,26,14,289
Raw shrimps,0,6,3,12
Raw sardine,200,13,7,18
Raw herring,0,19,10,34
Raw mackerel,0,22,12,67
Raw cod,0,32,17,120
Raw anchovies,0,19,10,48
Raw trout,0,26,14,20
Raw pike,0,32,17,50
Raw salmon,0,65,35,53
Raw tuna,0,130,70,91
Raw lobster,0,195,105,218
Raw bass,0,156,84,211
Raw swordfish,0,260,140,402
Raw shark,0,390,210,838
Bear fur,3,12,9,53
Grey wolf fur,3,60,47,39
Polar kebbit fur,0,12,9,138
Common kebbit fur,0,14,11,2120
Feldip weasel fur,0,16,13,121
Desert devil fur,0,20,16,1445
Tatty larupia fur,0,72,57,770
Larupia fur,0,96,76,1326
Tatty graahk fur,0,108,85,711
Graahk fur,0,144,114,2033
Tatty kyatt fur,0,144,114,878
Kyatt fur,0,192,152,2605
Pie dish,5,3,1,56
Cooking apple,2,1,0,143
Cake tin,2,10,3,62
Bowl,2,4,1,33
Potato,5,1,4,28
Tinderbox,4,1,0,73
Jug,1,1,0,3
Pot,8,1,0,5
Chocolate bar,2,10,6,83
Pot of flour,8,10,4,183
Empty cup,20,2,1,19
Vial,50,5,1,3
Empty vial pack,10,200,140,Not sold
Pestle and mortar,3,4,2,596
Eye of newt,50,3,2,4
Eye of newt pack,20,300,210,Not sold
Brandy,10,5,1,32
Gin,10,5,1,38
Vodka,10,5,1,283
Whisky,10,5,1,44
Pineapple,10,2,1,178
Equa leaves,20,2,??,161
Orange,20,2,??,109
Lemon,20,2,??,95
Lime,20,2,??,63
Dwellberries,5,4,??,127
Cocktail shaker,10,2,1,80
Chocolate bar,20,10,6,83
Chocolate dust,10,2,6,101
Pot of cream,5,2,6,25
Bucket of milk,5,6,4,16
Knife,5,6,8,96
Cocktail glass,20,1,1,217
Tribal top (brown),50,360 (300),100,5590
Villager robe (brown),50,300 (250) (250),83,7385
Villager hat (brown),50,240 (200),66,4741
Villager sandals (brown),50,120 (100),33,4360
Villager armband (brown),50,180 (150),50,3353
Opal machete,50,600 (500),150,352
Jade machete,50,"1,200 (1,000)",333,9479
Red topaz machete,50,"2,400 (2,000)",600,23681
Tribal top (blue),50,360 (300),100,5235
Villager robe (blue),50,250,83,7546
Villager hat (blue),50,240 (200),66,4978
Villager sandals (blue),50,120 (100),33,4091
Villager armband (blue),50,180 (150),50,3589
Uncut opal,0,24 (?),12,259
Uncut jade,0,36 (?),18,385
Uncut red topaz,0,48 (?),24,4075
Tribal top (yellow),50,360 (300),100,4445
Villager robe (yellow),50,250,83,8466
Villager hat (yellow),50,240 (200),66,7579
Villager sandals (yellow),50,120 (100),33,4151
Villager armband (yellow),50,180 (150),50,3588
Opal,0,120 (100),60,274
Jade,0,180 (150),90,523
Red topaz,0,240 (200),120,4685
Tribal top (pink),50,360 (300),100,4730
Villager robe (pink),50,250,83,8211
Villager hat (pink),50,240 (200),66,7003
Villager sandals (pink),50,120 (100),33,4375
Villager armband (pink),50,180 (150),50,3286
Gout tuber,0,240 (200),60,730352
Fruit blast,0,30,10,1922
Drunk dragon,0,30,10,24
Pineapple punch,0,30,10,27
Wizard blizzard,0,30,10,27
Blurberry special,0,30,10,4196
Choc saturday,0,30,10,22
Bronze 2h sword,4,80,48,11
Iron 2h sword,3,280,168,28
Steel 2h sword,2,1000,600,367
Black 2h sword,1,1920,1152,976
Mithril 2h sword,1,2600,1560,1302
Adamant 2h sword,1,6400,3840,3597
Bagged dead tree,20,1000,400,1456
Bagged nice tree,20,2000,800,2934
Bagged oak tree,20,5000,2000,6260
Bagged willow tree,20,10000,4000,12473
Bagged maple tree,20,15000,6000,16553
Bagged yew tree,20,20000,8000,22427
Bagged magic tree,20,50000,20000,52619
Bagged plant 1,20,1000,400,1783
Bagged plant 2,20,5000,2000,6123
Bagged plant 3,20,10000,4000,12925
Thorny hedge,20,5000,2000,5223
Nice hedge,20,10000,4000,10769
Small box hedge,20,15000,6000,15513
Topiary hedge,20,20000,8000,25280
Fancy hedge,20,25000,10000,26718
Tall fancy hedge,20,50000,20000,50585
Tall box hedge,20,100000,40000,107349
Bagged flower,20,5000,2000,5709
Bagged daffodils,20,10000,4000,11721
Bagged bluebells,20,15000,6000,17740
Bagged sunflower,20,5000,2000,5779
Bagged marigolds,20,10000,4000,11620
Bagged roses,20,15000,6000,17168
Uncut sapphire,1,25,8,1025
Uncut emerald,1,50,36,1021
Uncut ruby,0,100,70,1831
Uncut diamond,0,200,140,3778
Sapphire,1,250,69,590
Emerald,1,500,350,589
Ruby,0,1000,555,1090
Diamond,0,2000,666,2037
Needle,10,2,0,49
Thread,50,2,0,9
Pot,5,2,0,5
Bucket,3,4,0,6
Jug,2,2,0,3
Empty jug pack,6,280,??,Not sold
Tinderbox,3,2,0,73
Chisel,2,2,0,69
Hammer,5,2,0,41
Sample bottle,10,10,0,Not sold
Knife,2,12,0,96
Small fishing net,5,5,3,90
Fishing rod,5,5,3,93
Fly fishing rod,5,5,3,94
Harpoon,2,5,3,82
Lobster pot,2,20,14,224
Fishing bait,1500,3,2,4
Bait pack,80,300,210,Not sold
Feather,1000,2,1,3
Feather pack,100,200,140,Not sold
Raw shrimps,0,5,,12
Raw sardine,200,10,7,18
Raw herring,0,15,10,34
Raw anchovies,0,10,,48
Raw trout,0,20,,20
Raw pike,0,25,,50
Raw salmon,0,50,,53
Raw tuna,0,100,60-10,91
Raw lobster,0,150,105,218
Raw swordfish,0,200,140,402
Premade veg batta,3,120,30,40
Premade w'm batta,3,120,30,40
Premade t'd batta,3,120,30,40
Premade fr't batta,3,120,30,40
Premade c+t batta,3,120,30,41
Premade worm hole,3,150,37,43
Premade ttl,3,160,40,71
Premade veg ball,3,150,37,44
Premade choc bomb,3,160,40,89
Premade w'm crun',3,85,21,40
Premade t'd crunch,3,85,21,234
Premade ch' crunch,3,85,21,41
Premade s'y crunch,3,85,21,40
Graceful hood,100,35,,Not sold
Graceful cape,100,40,,Not sold
Graceful top,100,55,,Not sold
Graceful legs,100,60,,Not sold
Graceful gloves,100,30,,Not sold
Graceful boots,100,40,,Not sold
Amylase pack,1000,10,,Not sold
Gianne dough,50,2,??,15
Equa leaves,20,2,??,161
Pot of flour,10,10,??,183
Gnome spice,10,2,??,171
Onion,10,3,??,25
Potato,10,1,??,28
Cabbage,10,1,??,27
Tomato,10,4,??,77
Cheese,10,4,??,57
Spider on stick,0,50,??,300
Spider on shaft,0,40,??,328
Lime,10,2,??,63
Orange,10,2,??,109
Lemon,10,2,??,95
Pineapple,10,2,??,178
Dwellberries,10,4,??,127
Cocktail shaker,10,2,??,80
Chocolate bar,20,10,??,83
Chocolate dust,10,2,??,101
Pot of cream,5,2,??,25
Bucket of milk,5,6,??,16
Knife,5,6,??,96
Gianne's cook book,5,2,??,59
Batta tin,5,10,??,8
Crunchy tray,5,10,??,54
Gnomebowl mould,5,10,??,199
Sapphire,2,250,,590
Emerald,1,500,,589
Ruby,1,1000,,1090
Diamond,0,2000,,2037
Sapphire,3,390,200,590
Emerald,1,750,400,589
Ruby,1,1500,800,1090
Diamond,0,3000,1600,2037
Cabbage,10,1,0,27
Potato,10,1,0,28
Onion,10,3,2,25
Tomato,10,4,3,77
Garlic,2,3,2,28
Vial,50,2,0,3
Empty vial pack,10,260,80,Not sold
Pestle and mortar,3,5,1,596
Eye of newt,50,3,1,4
Eye of newt pack,20,390,120,Not sold
Gold ring,0,350,245,108
Sapphire ring,0,900,630,731
Emerald ring,0,1275,892,717
Ruby ring,0,2025,1417,1063
Diamond ring,0,3525,2467,1977
Gold necklace,0,450,315,105
Sapphire necklace,0,1050,735,676
Emerald necklace,0,1425,997,719
Ruby necklace,0,2175,1522,1137
Diamond necklace,0,3675,2570,2079
Gold amulet,0,350,245,76
Sapphire amulet,0,900,630,470
Emerald amulet,0,1275,892,629
Ruby amulet,0,2025,1417,1073
Diamond amulet,0,3525,2467,2062
Bronze arrow,200,1,0,7
Bronze bolts,150,1,0,3
Pearl bolts,1,13,3,78
Shortbow,4,50,12,39
Longbow,2,80,20,58
Crossbow,2,70,17,161
Bronze arrowtips,200,1,0,4
Iron arrowtips,180,2,0,13
Steel arrowtips,160,6,1,39
Mithril arrowtips,140,16,4,59
Iron axe,5,56,14,5
Steel axe,3,200,50,9
Iron battleaxe,5,182,45,14
Steel battleaxe,2,650,162,187
Mithril battleaxe,1,1690,422,760
Bronze 2h sword,4,80,20,11
Iron 2h sword,3,280,70,28
Steel 2h sword,2,1000,250,367
Black 2h sword,1,1920,480,976
Mithril 2h sword,1,2600,650,1302
Adamant 2h sword,1,6400,1600,3597
Jug,2,1,0,3
Empty jug pack,4,182,56,Not sold
Bucket,2,2,0,6
Tinderbox,2,1,1,73
Chisel,2,14,0,69
Hammer,5,1,0,41
Candle,10,3,1,209
Unlit torch,10,5,1,2
Charcoal,50,58,18,344
Leather gloves,10,7,2,2
Vial,10,2,0,3
Empty vial pack,10,260,80,Not sold
Pestle and mortar,3,5,1,596
Rope,10,23,7,57
Chisel,10,14,4,69
Ring mould,10,5,1,15
Necklace mould,10,5,1,48
M'amulet mould,10,10,3,Not sold
Needle,10,1,1,49
Thread,100,4,1,9
Ball of wool,100,5,1,55
Bracelet mould,10,5,1,373
Dragon battleaxe,1,200000,110000,119531
Dragon mace,1,50000,27500,30122
Beer,3,2,1,78
Braindeath 'rum',3,30,No,Not sold
Jug of wine,1,1,0,3
Stew,5,20,12,157
Small fishing net,5,5,3,90
Fishing rod,5,5,3,93
Harpoon,2,5,3,82
Lobster pot,2,20,14,224
Fishing bait,1200,3,2,4
Bait pack,80,300,210,Not sold
Big fishing net,5,20,14,289
Raw shrimps,0,5,3,12
Raw sardine,0,10,7,18
Raw herring,0,15,10,34
Raw mackerel,0,17,11,67
Raw cod,0,25,17,120
Raw anchovies,0,15,10,48
Raw tuna,0,100,70,91
Raw lobster,0,150,105,218
Raw bass,0,120,84,211
Raw swordfish,0,200,140,402
Raw shark,0,300,210,838
Bronze med helm,5,24,14,14
Iron med helm,3,84,50,9
Steel med helm,3,300,180,42
Mithril med helm,1,780,468,304
Adamant med helm,1,1920,1152,901
Bronze full helm,4,44,26,6
Iron full helm,3,154,92,40
Steel full helm,2,550,330,150
Mithril full helm,1,1430,858,685
Adamant full helm,1,3520,2112,1847
Copper ore,0,3,2,55
Tin ore,0,3,2,56
Iron ore,0,17,11,131
Mithril ore,0,162,113,182
Adamantite ore,0,400,280,1069
Runite ore,0,3200,2240,10746
Coal,0,45,31,221
Uncut sapphire,1,25,17,1025
Uncut emerald,0,50,35,1021
Uncut ruby,0,100,70,1831
Uncut diamond,0,200,140,3778
Sapphire,1,250,175,590
Emerald,0,500,350,589
Ruby,0,1000,700,1090
Diamond,0,2000,1400,2037
Bronze bolts,200,1,0,3
Bronze arrow,1000,1,0,7
Iron arrow,800,3,1,9
Steel arrow,0,12,4,33
Mithril arrow,0,32,10,41
Adamant arrow,0,80,26,67
Rune arrow,0,400,133,83
Bronze brutal,0,5,1,100
Iron brutal,0,10,3,113
Steel brutal,0,20,6,129
Black brutal,0,35,11,168
Mithril brutal,0,50,16,177
Adamant brutal,0,95,31,307
Rune brutal,0,450,150,1020
Bronze arrowtips,1000,1,0,4
Iron arrowtips,800,2,0,13
Steel arrowtips,600,6,2,39
Mithril arrowtips,400,16,8,59
Adamant arrowtips,200,40,20,134
Rune arrowtips,100,200,100,285
Shortbow,4,50,16,39
Longbow,2,80,26,58
Crossbow,2,70,23,161
Oak shortbow,4,100,33,30
Oak longbow,4,160,53,39
Comp ogre bow,0,180,60,1122
Studded body,2,850,283,395
Studded chaps,2,750,250,351
Blue naval shirt,10,1000,Not sold,Not sold
Blue tricorn hat,10,500,Not sold,Not sold
Blue navy slacks,10,1000,Not sold,Not sold
Green naval shirt,10,1000,Not sold,Not sold
Green tricorn hat,10,500,Not sold,Not sold
Green navy slacks,10,1000,Not sold,Not sold
Red naval shirt,10,1000,Not sold,Not sold
Red tricorn hat,10,500,Not sold,Not sold
Red navy slacks,10,1000,Not sold,Not sold
Brown naval shirt,10,1000,Not sold,Not sold
Brown tricorn hat,10,500,Not sold,Not sold
Brown navy slacks,10,1000,Not sold,Not sold
Black naval shirt,10,1000,Not sold,Not sold
Black tricorn hat,10,500,Not sold,Not sold
Black navy slacks,10,1000,Not sold,Not sold
Purple naval shirt,10,1000,Not sold,Not sold
Purple tricorn hat,10,500,Not sold,Not sold
Purple navy slacks,10,1000,Not sold,Not sold
Grey naval shirt,10,1000,Not sold,Not sold
Grey tricorn hat,10,500,Not sold,Not sold
Grey navy slacks,10,1000,Not sold,Not sold
Cutthroat flag,10,2000,Not sold,Not sold
Guilded smile flag,10,2000,Not sold,Not sold
Bronze fist flag,10,3000,Not sold,Not sold
Lucky shot flag,10,4000,Not sold,Not sold
Treasure flag,10,5000,Not sold,Not sold
Phasmatys flag,10,6000,Not sold,Not sold
The stuff,10,50,Not sold,Not sold
Rum (Trouble Brewing),30,20,Not sold,Not sold
Bronze chainbody,5,60,36,7
Iron chainbody,3,210,126,71
Steel chainbody,3,750,450,262
Mithril chainbody,1,1950,1170,911
Bronze platebody,3,160,96,19
Iron platebody,1,560,336,102
Steel platebody,1,2000,1200,934
Black platebody,1,3840,2304,3932
Mithril platebody,1,5200,3120,2826
Iron platelegs,1,280,168,88
Studded body,1,850,510,395
Studded chaps,1,750,450,351
Team-2 cape,100,50,30,462
Team-12 cape,100,50,30,541
Team-22 cape,100,50,30,518
Team-32 cape,100,50,30,457
Team-42 cape,100,50,30,556
Pot,3,1,1,5
Jug,2,1,1,3
Empty jug pack,8,140,??,Not sold
Rope,8,18,5,57
Bucket,2,2,1,6
Tinderbox,2,1,1,73
Hammer,5,13,3,41
Ruby ring,5,1012,,1063
Small fishing net,5,6,??,90
Fishing rod,5,6,??,93
Fly fishing rod,5,6,??,94
Harpoon,2,6,??,82
Lobster pot,2,26,??,224
Fishing bait,1500,3,??,4
Bait pack,80,390,??,Not sold
Feather,1000,2,??,3
Feather pack,100,260,??,Not sold
Big fishing net,5,26,??,289
Raw shrimps,0,6,??,12
Raw sardine,200,13,??,18
Raw herring,0,19,??,34
Raw mackerel,0,22,??,67
Raw cod,0,32,??,120
Raw anchovies,0,19,??,48
Raw trout,0,26,??,20
Raw pike,0,32,??,50
Raw salmon,0,65,??,53
Raw tuna,0,130,??,91
Raw lobster,0,195,??,218
Raw bass,0,156,??,211
Raw swordfish,0,260,??,402
Raw shark,0,390,??,838
Cabbage,10,1,0,27
Potato,10,1,0,28
Onion,10,3,2,25
Tomato,10,4,3,77
Garlic,2,3,2,28
Chisel,2,1,0,69
Ring mould,4,7,1,15
Necklace mould,2,7,1,48
Amulet mould,2,7,1,32
Needle,3,1,0,49
Thread,100,1,0,9
Holy mould,3,7,1,17
Sickle mould,6,15,2,48
Tiara mould,10,150,25,87
Bracelet mould,5,7,1,373
Vial,800,2,1,3
Empty vial pack,800,200,140,Not sold
Pestle and mortar,3,4,2,596
Eye of newt,800,3,2,4
Eye of newt pack,100,300,210,Not sold
Pot,5,1,??,5
Jug,2,1,0,3
Empty jug pack,5,182,??,Not sold
Shears,2,1,??,27
Bucket,3,2,??,6
Bowl,2,5,??,33
Cake tin,2,13,??,62
Tinderbox,2,1,??,73
Chisel,2,1,??,69
Bronze axe,10,390,??,9
Field ration,25,390,??,Not sold
Tinderbox,2,1,0,73
Candle,10,4,1,209
Unlit torch,10,6,2,2
Pot,3,1,0,5
Rope,10,27,9,57
Leather body,12,31,10,4
Leather gloves,10,9,3,2
Leather boots,10,9,3,18
Cooked meat,2,6,2,31
Bread,10,18,6,163
Vial,10,3,1,3
Empty vial pack,100,300,100,Not sold
Vial of water,50,3,1,4
Water-filled vial pack,50,301,100,Not sold
Pestle and mortar,3,6,2,596
Antipoison(3),10,432,144,240
Papyrus,50,15,5,201
Charcoal,50,67,22,344
Knife,2,9,3,96
Hammer,10,1,0,41
Machete,50,60,20,259
Chisel,10,1,0,69
Spade,10,4,1,143
Bronze axe,2,24,8,9
Bronze pickaxe,2,1,0,71
Iron axe,5,84,28,5
Bronze bar,10,12,4,138
Pure essence,0,6,2,5
Dragon longsword,2,100000,60000,59670
Dragon dagger,2,30000,18000,17657
Pot,30,1,1,5
Jug,10,1,1,3
Empty jug pack,5,182,??,Not sold
Shears,10,1,1,27
Bucket,30,2,1,6
Bowl,10,4,1,33
Cake tin,10,10,3,62
Tinderbox,10,1,1,73
Chisel,10,14,4,69
Hammer,10,13,4,41
Beer,3,2,1.0,78
Karamjan rum,3,30,,Not sold
Jug of wine,1,1,0.0,3
Tuna,20,110,70,85
Salmon,20,55,35,45
Cod,20,27,17,27
Lobster,10,165,105,191
Swordfish,0,220,140,394
Shark,0,330,210,888
Limestone brick,1000,26,7,262
Marble block,20,325000,108333,327677
Gold leaf,20,130000,43333,134119
Magic stone,10,975000,325000,978320
Bread,10,18,9,163
Cake,3,75,40,168
Chocolate slice,8,45,24,Not sold
Pot of flour,3,10,6,183
Raw beef,1,1,0,45
Cabbage,3,1,0,27
Banana,3,2,1,88
Redberries,1,3,1,74
Bread,0,12,8,163
Chocolate bar,1,10,6,83
Cheese,3,4,2,57
Tomato,3,4,2,77
Potato,1,1,0,28
Bronze pickaxe,5,1,0,71
Pot,3,1,0,5
Jug,2,1,0,3
Empty jug pack,5,196,??,Not sold
Shears,2,1,0,27
Bucket,2,2,0,6
Tinderbox,2,1,0,73
Chisel,2,1,0,69
Hammer,5,1,0,41
Rope,30,25,7,57
Pot of flour,1,15,4,183
Bailing bucket,30,15,4,Not sold
Swamp paste,500,42,12,98
Knife,10,8,2,96
Royal seed pod,30,2,,Not sold
Team-3 cape,100,50,30,304
Team-13 cape,100,50,30,503
Team-23 cape,100,50,30,468
Team-33 cape,100,50,30,410
Team-43 cape,100,50,30,472
Pot,50000,1,0,5
Jug,5,1,0,3
Empty jug pack,6,154,??,Not sold
Bucket,5,2,0,6
Bowl,5,4,0,33
Tinderbox,2,1,1,73
Hammer,5,1,0,41
Bronze nails,500,2,0,8
Iron nails,500,4,1,18
Swordfish,20,310,??,394
Apple pie,5,46,??,187
Attack potion(3),3,18,??,2
Steel arrow,500,18,??,33
Mithril seeds,6,300,100.0,120
Dusty key,5,1,,Not sold
Maze key,3,1,,Not sold
Shield right half,1,750000,250000.0,765557
Cape of legends,3,675,,Not sold
Hunters' crossbow,2,1300,,1820
Rake,6,6,3,190
Seed dibber,4,6,3,201
Secateurs,1,5,3,196
Spade,3,3,1,143
Gardening trowel,2,12,7,191
Watering can,2,8,4,186
Bucket,2,20,12,6
Plant cure,5,40,24,212
Cocktail glass,Varies,1,1,Not sold
Rock (elemental),3,1,0,Not sold
Bronze pickaxe,20,1,0,71
Pot,50000,1,0,5
Jug,5,1,0,3
Empty jug pack,4,154,56,Not sold
Bucket,5,1,0,6
Bowl,5,4,1,33
Tinderbox,2,1,0,73
Ball of wool,30,2,0,55
Chisel,2,1,0,69
Hammer,5,1,0,41
Vial of water,60,2,0,4
Water-filled vial pack,30,251,196,Not sold
Pot,30,1,0,5
Jug,5,1,0,3
Empty jug pack,6,175,??,Not sold
Bucket,5,2,0,6
Bowl,5,5,0,33
Machete,1,50,28,259
Shears,2,1,0,27
Rope,30,22,12,57
Tinderbox,2,1,1,73
Spade,5,3,0,143
Ball of wool,30,2,1,55
Chisel,2,1,0,69
Hammer,5,1,0,41
Needle,2,1,0,49
Thread,40,1,0,9
Iron arrow,2000,3,1,9
Steel arrow,500,15,4,33
Mithril arrow,500,41,12,41
Adamant arrow,450,104,32,67
Rune arrow,400,520,160,83
Bronze bolts,1500,1,0,3
Oak shortbow,5,130,40,30
Oak longbow,5,208,64,39
Crossbow,5,91,28,161
Willow shortbow,5,260,80,72
Willow longbow,5,416,128,114
Bread,10,15,??,163
Lobster,15,195,??,191
Jug of wine,3,1,??,3
Cheese,10,5,??,57
Cake,5,65,??,168
Pot,3,1,0,5
Jug,2,1,0,3
Empty jug pack,5,182,??,Not sold
Shears,2,1,0,27
Bucket,3,2,0,6
Tinderbox,3,1,0,73
Chisel,2,1,0,69
Hammer,5,1,0,41
Spade,5,3,1,143
Knife,4,7,2,96
Thread,8,1,0,9
Needle,3,1,0,49
Ball of wool,5,2,1,55
Red dye,10,6,2,409
Yellow dye,10,6,2,185
Blue dye,10,6,2,244
Orange dye,10,6,2,613
Green dye,10,6,2,422
Purple dye,10,6,2,376
Pie dish,5,3,1,56
Cake tin,2,10,3,62
Bowl,2,4,1,33
Tinderbox,3,1,0,73
Jug,3,1,0,3
Pot,12,1,0,5
Empty cup,3,2,1,19
Knife,3,6,1,96
Ball of wool,30,2,1,55
Potato,5,1,4,28
Cooking apple,2,1,0,143
Bread,2,12,6,163
Chocolate bar,1,10,6,83
Cheese,3,10,4,57
Pot of flour,8,10,4,183
Bronze platelegs,5,80,52,32
Iron platelegs,3,280,182,88
Steel platelegs,2,1000,650,376
Black platelegs,1,1920,1248,2258
Mithril platelegs,1,2600,1690,1320
Adamant platelegs,1,6400,4160,3546
Small fishing net,5,5,,90
Fishing rod,5,5,,93
Fly fishing rod,5,5,,94
Harpoon,2,5,,82
Lobster pot,2,20,,224
Fishing bait,1500,3,,4
Bait pack,80,300,,Not sold
Feather,1000,2,,3
Feather pack,100,200,,Not sold
Raw shrimps,0,5,,12
Raw sardine,200,10,,18
Raw herring,0,15,,34
Raw anchovies,0,15,,48
Raw trout,0,20,,20
Raw pike,0,25,,50
Raw salmon,0,50,,53
Raw tuna,0,100,,91
Raw lobster,0,150,,218
Raw swordfish,0,200,,402
Bronze arrow,2000,2,0,7
Iron arrow,1500,3,1,9
Steel arrow,1000,12,6,33
Mithril arrow,800,32,17,41
Adamant arrow,600,80,44,67
Bronze bolts,1500,1,0,3
Shortbow,4,50,27,39
Longbow,4,80,44,58
Oak shortbow,3,100,55,30
Oak longbow,3,160,88,39
Willow shortbow,2,200,110,72
Willow longbow,2,320,176,114
Maple shortbow,1,400,220,197
Maple longbow,1,640,352,230
Crossbow,2,70,38,161
Pot,5,1,0,5
Jug,2,1,0,3
Empty jug pack,5,182,??,Not sold
Shears,2,1,0,27
Bucket,3,2,0,6
Bowl,2,5,1,33
Cake tin,2,13,4,62
Tinderbox,2,1,0,73
Chisel,2,1,0,69
Hammer,5,1,0,41
Newcomer map,5,1,0,Not sold
Security book,5,2,1,22
Fire rune,200,4,2,5
Water rune,200,4,2,5
Air rune,200,4,2,5
Earth rune,200,4,2,5
Mind rune,140,3,1,4
Body rune,140,3,1,5
Nature rune,250,180,108,277
Chaos rune,250,90,54,101
Law rune,250,240,144,300
Cosmic rune,20,50,31,163
Death rune,250,180,108,270
Saradomin staff,5,80000,,Not sold
Guthix staff,5,80000,,Not sold
Zamorak staff,5,80000,,Not sold
Mystic hat,1000,15000,9000,11849
Mystic robe top,1000,120000,72000,71758
Mystic robe bottom,1000,80000,48000,48274
Mystic gloves,1000,10000,6000,5937
Mystic boots,1000,10000,6000,7790
Rope,50,18,10,57
Lockpick,25,20,12,259
Chisel,30,1,0,69
Knife,20,6,3,96
Stethoscope,25,10,Not sold,Not sold
Bronze knife,15,1,0,30
Iron knife,10,3,1,49
Steel knife,5,11,6,70
Bronze claws,3,15,9,20
Iron claws,2,50,30,80
Steel claws,1,175,105,31
Thieving cape,1,99000,Not sold,Not sold
Unlit torch,15,6,,2
Empty oil lamp,4,37,,3
Empty oil lantern,2,176,48.0,54
Bullseye lantern (empty),1,600,,558
Mining helmet,1,900,540.0,723
Tinderbox,10,1,0.0,73
Light orb,0,525,,144
Oil lamp,0,42,,874
Oil lantern,0,187,,1003
Bullseye lantern,0,630,,1904
Fremennik brown shirt,5,250,137,271
Fremennik grey shirt,5,250,137,1251
Fremennik beige shirt,5,250,137,1142
Fremennik red shirt,5,250,137,1199
Fremennik blue shirt,5,250,137,934
Fremennik robe,5,500,275,1172
Fremennik skirt,5,500,275,963
Skirt (lilac),3,550,302,1281
Skirt (blue),3,625,343,1576
Trousers (lilac),3,700,385,1755
Trousers (blue),3,750,412,1296
Shorts (yellow),3,360,198,1466
Shorts (blue),3,390,214,1762
Woven top (yellow),3,625,343,2004
Woven top (blue),3,650,357,1620
Shirt (yellow),3,600,330,2030
Shirt (lilac),3,625,343,1372
Bread,5,12,6,163
Cheese,5,4,2,57
Cabbage,5,1,0,27
Potato,5,1,0,28
Onion,5,3,1,25
Pot of flour,5,10,5,183
Chocolate bar,2,10,5,83
Bucket of milk,5,6,3,16
Pot,5,1,0,5
Jug,2,1,0,3
Empty jug pack,6,182,??,Not sold
Shears,2,1,0,27
Bucket,3,2,0,6
Bowl,2,5,1,33
Cake tin,2,13,4,62
Tinderbox,3,1,0,73
Chisel,2,1,0,69
Hammer,5,1,0,41
Moonclan helm,9,1000,No,Not sold
Moonclan hat,10,1000,No,Not sold
Moonclan armour,10,1000,No,Not sold
Moonclan skirt,10,1000,No,Not sold
Moonclan gloves,9,900,No,Not sold
Moonclan boots,12,900,No,Not sold
Moonclan cape,15,200,No,Not sold
Pot,5,1,0,5
Jug,2,1,0,3
Shears,2,1,0,27
Bucket,3,2,0,6
Bowl,2,4,2,33
Cake tin,2,10,5,62
Tinderbox,3,1,0,73
Chisel,2,1,0,69
Hammer,5,1,0,41
Security book,5,2,0,22
Cannon stand,5,200625,56250,187452
Cannon base,5,200625,56250,187347
Cannon furnace,5,200625,56250,188049
Cannon barrels,5,200625,56250,187973
Ammo mould,5,5,No,Not sold
Instruction manual,5,10,No,Not sold
Mythical cape,50,10000,,Not sold
Shield right half,1,750000,250000,765557
Dragon metal shard,1,1800000,600000,1769348
Pestle and mortar,5,4,2,596
Vial,50,2,1,3
Empty vial pack,10,200,140,Not sold
Eye of newt,50,3,2,4
Eye of newt pack,20,300,210,Not sold
Dragon dagger,2,30000,18000,17657
